 283万,  单价21367元/平米,  低楼层(共33层)2014年建板塔结合 - 关西长职,  金地雄楚一号 | 3室2厅 | 132.45平米 | 南 北 | 毛坯 | 有电梯,  6人关注 / 共10次带看 / 4个月以前发布
 158万,  单价16992元/平米,  低楼层(共18层)2011年建板塔结合 - 珞狮南路,  保利心语三期 | 3室2厅 | 92.99平米 | 东南 | 简装 | 有电梯,  31人关注 / 共9次带看 / 4个月以前发布
 172万,  单价21517元/平米,  高楼层(共33层)2013年建板楼 - 百步亭,  万锦江城 | 2室1厅 | 79.94平米 | 南 | 其他 | 有电梯,  4人关注 / 共7次带看 / 4个月以前发布
 143万,  单价17523元/平米,  低楼层(共11层)2013年建板楼 - 光谷南,  当代卡梅尔小镇 | 2室2厅 | 81.61平米 | 西南 | 精装 | 有电梯,  11人关注 / 共6次带看 / 3个月以前发布
 170万,  单价23400元/平米,  低楼层(共18层)2006年建塔楼 - 集贤,  宝康苑 | 2室1厅 | 72.65平米 | 东 | 其他 | 有电梯,  3人关注 / 共0次带看 / 11个月以前发布
 140万,  单价15706元/平米,  低楼层(共8层)2011年建板楼 - 三环南,  新凯御景湾 | 2室2厅 | 89.14平米 | 东南 南 | 简装,  40人关注 / 共2次带看 / 10个月以前发布
 135万,  单价14501元/平米,  中楼层(共6层)2005年建板楼 - 长港路,  党校宿舍（长港路） | 2室2厅 | 93.1平米 | 南 北 | 其他,  20人关注 / 共1次带看 / 10个月以前发布
 283万,  单价19362元/平米,  低楼层(共25层)2009年建塔楼 - 珞狮南路,  保利心语一期 | 4室2厅 | 146.17平米 | 南 北 | 简装 | 有电梯,  53人关注 / 共2次带看 / 10个月以前发布
 170万,  单价14665元/平米,  高楼层(共8层)2000年建板楼 - 老南湖,  江宏花园区 | 3室2厅 | 115.93平米 | 南 北 | 其他 | 无电梯,  18人关注 / 共1次带看 / 10个月以前发布
 223万,  单价24409元/平米,  低楼层(共26层)2006年建塔楼 - 积玉桥,  中环国际 | 2室2厅 | 91.36平米 | 南 | 其他 | 有电梯,  20人关注 / 共1次带看 / 10个月以前发布
 188万,  单价14004元/平米,  中楼层(共8层)塔楼 - 王家湾,  赏新园 | 4室2厅 | 134.25平米 | 南 | 其他,  19人关注 / 共0次带看 / 8个月以前发布
 305万,  单价20428元/平米,  中楼层(共24层)2009年建板楼 - 珞狮南路,  保利心语一期 | 4室2厅 | 149.31平米 | 南 北 | 精装 | 有电梯,  8人关注 / 共1次带看 / 1个月以前发布
 140万,  单价14286元/平米,  中楼层(共24层)板楼 - 长丰常码头,  华润翡翠城 | 3室2厅 | 98平米 | 南 | 其他,  16人关注 / 共17次带看 / 1个月以前发布
 340万,  单价37408元/平米,  高楼层(共18层)2006年建板楼 - 三阳路,  华清园 | 2室2厅 | 90.89平米 | 南 | 其他 | 有电梯,  4人关注 / 共30次带看 / 1个月以前发布
